,code,lat,lon,city,name
2473,PWM,43.6475,-70.3103,Portland,Jetport International Airport
2474,PWQ,52.1859,77.0858,Pavlodar,Pavlodar South Airport
2475,PXM,15.8725,-97.0861,San Pedro Juchatengo,Puerto Escondido Airport
2476,PXO,33.0667,-16.35,Porto Santo,Porto Santo Airport
2477,PXU,13.9747,108.041,Gia Lai,Pleiku Area Airport
2478,PYH,5.5833,-67.6167,Maroa,Puerto Ayacucho Airport
2479,PYJ,69.1966,33.4842,Polyarnyj,Russia
2480,PZB,-29.6514,30.3994,Pietermaritzburg,Pietermaritzburg Airport
2481,PZE,50.1282,-5.51945,Penzance,Penzance Heliport
2482,PZI,21.652,110.623,Pan Zhi Hua,Pan Zhi Hua Bao AnYing
2483,PZO,8.3,-62.7333,Ciudad Guayana,Puerto Ordaz Airport
2484,PZU,19.5761,37.2167,Port Sudan,Port Sudan International Airport
2485,QBC,52.3843,-126.585,Masset,Bella Coola Airport
2486,QDH,51.08,0.53,Ashford,Ashford International Rail Station
2487,QDU,51.0908,10.4542,Dusseldorf,Germany
2488,QFB,47.9986,7.84964,Freiburg,Freiburg Hauptbahnhof
2489,QFZ,49.2315,6.99827,Sarrebruck,Saarbruecken Rail Station
2490,QJY,33.5056,126.495,Jeju-Si,Cheju International Airport
2491,QJZ,46.7124,1.71832,Nantes,France
2492,QKL,50.944,6.95806,Cologne,Koeln Hauptbahnhof
2493,QOW,5.49341,7.0261,Owerri,Owerri
2494,QQD,51.07,1.19,Dover,Dover Rail Station
2495,QQH,51.9389,1.28162,Harwich,Harwich Rail Station
2496,QQK,52.8833,-1.97685,London,England
2497,QQM,53.365,-2.27089,Manchester,Manchester International Airport
2498,QQN,52.4531,-1.73847,Birmingham,Birmingham International Airport
2499,QQP,51.5158,-0.17539,London,Paddington Station
2500,QQS,51.5299,-0.12549,Britrail Rail Zone S,St Pancras International
2501,QQU,52.4531,-1.73847,London,Birmingham International Airport
2502,QQW,51.5035,-0.11297,London,Waterloo Railway Station
2503,QQX,51.3851,-2.36116,Bath,Bath Rail Service
2504,QQY,52.4531,-1.73847,York,Birmingham International Airport
2505,QRH,51.9525,4.4392,Rotterdam,Rotterdam Airport
2506,QRO,20.6228,-100.369,Queretaro,Queretaro Airport
2507,QRW,5.75242,5.86487,Warri,Delta
2508,QSF,36.1914,5.40944,Setif,Setif
2509,QUL,36.5922,-90.2465,Qulin,Qulin
2510,QWB,-25.5275,-49.1731,Sao Jose dos Pinhais,Afonso Pena International Airport
2511,QXB,43.5048,5.36794,Aix-les-milles,Aix Les Milles Airport
2512,QXG,47.4174,-0.82135,Angers,Pays de la Loire
2513,QYU,61.2661,15.9858,Gefle,Gavleborg
2514,QYX,59.8585,17.6441,Uppsala,Uppsala Station
2515,RAB,-4.2272,152.184,Rabaul,Rabaul Airport
2516,RAE,30.9086,41.1367,Arar,Arar Airport
2517,RAH,29.6278,43.4944,Rafha,Rafha Airport
2518,RAI,14.9253,-23.5031,Praia,Francisco Mendes Airport
2519,RAJ,22.3169,70.769,Rajkot,Rajkot Airport
2520,RAK,31.6167,-8.05,Marrakesh,Menara Airport
2521,RAO,-21.1322,-47.7744,Ribeirão Prêto,Leite Lopes Airport
2522,RAP,44.037,-103.06,Rapid City,Rapid City Regional Airport
2523,RAR,-21.2,-159.8,Avarua,Rarotonga International Airport
2524,RAS,37.3256,49.6092,Rasht,Rasht Airport
2525,RBA,34.0475,-6.7578,Rabat,Sale Airport
2526,RBH,64.7381,-155.489,Brooks Lodge,Brooks Lodge
2527,RBQ,-14.45,-67.55,Rurrenabaque,Rurrenabaque Airport
2528,RBR,-9.9981,-67.7997,Rio Branco,Presidente Medici International Airport
2529,RBV,58.05,25.1,Ramata,Ramata
2530,RBX,46.4717,-108.55,Roundup,Roundup Airport
2531,RBY,64.7381,-155.489,Ruby,Ruby Airport
2532,RCB,-28.7386,32.0928,Empangeni,Richards Bay Airport
2533,RCE,48.6126,-123.14,Friday Harbor,Roche Harbor Airport
2534,RCH,11.5292,-72.9244,Ríohacha,Almirante Padilla Airport
2535,RCL,-15.4802,167.834,Redcliffe,Redcliffe
2536,RCM,-20.7021,143.115,Bellfield,Richmond Aerodrome
2537,RCP,51.5257,-0.14499,Cinder River,Cinder River
2538,RDB,67.75,-163.667,Red Dog,Red Dog
2539,RDD,40.5056,-122.302,Redding,Redding Municipal Airport
2540,RDM,44.2533,-121.162,Redmond,Roberts Field Airport
2541,RDN,3.94515,114.402,Redang,Malaysia
2542,RDU,35.8729,-78.7923,Raleigh/Durham,Durham International Airport
2543,RDV,61.7645,-157.312,Red Devil,Red Devil
2544,RDZ,44.41,2.48254,Marcillac,Marcillac Airport
2545,REA,-19,-135.1,Reao,Reao
