"","city","latitude","longitude","price"
"354","Tomsk",56.385833,85.213333,99
"355","Malmö",55.5425,13.375,99
"356","Arkhangelsk",64.600278,40.716667,100
"357","Syktyvkar",61.646944,50.845,100
"358","Minsk",53.8825,28.030833,100
"359","Batna",35.752222,6.308611,100
"360","Liège",50.6375,5.443333,100
"361","Baia Mare",47.658333,23.466389,100
"362","Nizhny Novgorod",56.23,43.784167,101
"363","Tbilisi",41.669167,44.954722,101
"364","Figari",41.502222,9.096667,101
"365","Biskra",34.793333,5.738333,101
"366","Pskov",57.783889,28.395556,102
"367","Klagenfurt",46.642778,14.337778,102
"368","Denizli",37.785556,29.701389,102
"369","Skellefteå",64.624722,21.076944,103
"370","Cephalonia",38.12,20.500556,103
"371","Dundee",56.452222,-3.025556,104
"372","Kayseri",38.770278,35.495556,104
"373","Edremit",39.554722,27.013889,104
"374","Sitia",35.216111,26.101389,104
"375","Djerba",33.875,10.775556,104
"376","Constantine",36.276111,6.620278,104
"377","Gazipaşa",36.298056,32.290278,104
"378","Sivas",39.813889,36.903611,104
"379","Amasya",40.828611,35.520278,104
"380","Stavanger",58.876667,5.637778,104
"381","Sogndal",61.156667,7.139444,105
"382","Tivat",42.404722,18.723333,105
"383","Samsun",41.254444,36.567222,105
"384","Giresun",40.966944,38.085833,105
"385","Murmansk",68.781667,32.750833,106
"386","Visby",57.662778,18.346111,106
"387","Nevşehir",38.771944,34.534444,106
"388","Laghouat",33.764722,2.9275,106
"389","Røros",62.578889,11.344722,107
"390","Kahramanmaraş",37.538889,36.953333,107
"391","Ufa",54.5575,55.883889,107
"392","Stavropol",45.109167,42.112778,107
"393","Gyumri",40.750278,43.859444,107
"394","Erzincan",39.710278,39.526944,107
"395","Doncaster",53.475278,-1.003889,107
"396","Van",38.468333,43.332222,107
"397","Sundsvall",62.528056,17.443889,108
"398","Ronneby",56.266667,15.265,108
"399","Kalmar",56.685556,16.2875,108
"400","Ängelholm",56.296111,12.847222,108
"401","Beirut",33.820833,35.488333,108
"402","Hatay Province",36.359722,36.284722,108
"403","Diyarbakır",37.893889,40.201111,108
"404","Trabzon",40.995,39.789722,108
"405","Reggio Calabria",38.071944,15.653611,109
"406","Badajoz",38.891389,-6.821389,109
"407","Monastir",35.758056,10.754722,109
"408","Baku",40.4675,50.046667,110
"409","Tekirdağ",41.138889,27.919444,110
"410","Calvi, Haute-Corse",42.520278,8.793056,110
"411","Skiathos",39.177222,23.503611,110
"412","Tyumen",57.189444,65.324167,110
"413","Cherepovets",59.278056,38.0225,111
"414","Malatya",38.435278,38.091111,111
"415","Ulan-Ude",51.807778,107.437778,111
"416","Gaziantep",36.947222,37.478611,111
"417","Voronezh",51.814167,39.229722,112
"418","Santa Cruz de La Palma",28.626389,-17.755556,112
"419","Northern Cyprus",35.159722,33.488333,112
"420","Ivalo",68.607222,27.405278,113
"421","Elazığ",38.606944,39.291389,113
"422","Erzurum",39.956389,41.170278,113
"423","Ulyanovsk",54.268333,48.226667,113
"424","Annaba",36.822222,7.809167,113
"425","El Oued",33.512778,6.782778,113
"426","Muş",38.747778,41.661111,113
"427","Rodez",44.4075,2.483333,114
"428","Kars",40.562222,43.115,114
"429","Şanlıurfa",37.447658,38.898752,114
"430","Örnsköldsvik",63.408333,18.99,114
"431","Mardin",37.223333,40.631667,114
"432","Tambov",52.806099,41.482799,114
"433","Dnipro",48.357222,35.100556,114
"434","Kursk",51.750556,36.295556,114
"435","Kalamata",37.068333,22.025556,114
"436","Islay",55.681944,-6.256667,114
"437","Tébessa",35.431667,8.120833,114
"438","Adıyaman",37.731389,38.468889,115
"439","Touggourt",33.067778,6.088611,115
"440","Westerland",54.913333,8.340556,116
"441","Bingöl",38.861389,40.5925,116
"442","Bornholm",55.063333,14.760278,116
"443","Saratov",51.565,46.046667,116
"444","Ohrid",41.18,20.742222,117
"445","Bursa",40.255278,29.5625,117
"446","Bryansk",53.214176,34.178872,117
"447","Guelmim",29.026667,-10.050278,117
"448","Isparta",37.855556,30.368333,117
"449","Batman",37.928889,41.116667,118
"450","Leros",37.185,26.800278,118
