,code,lat,lon
494,CCM,-28.7239,-49.4208
495,CCP,-36.7736,-73.06
496,CCS,10.6053,-66.9881
497,CCU,22.6572,88.4506
498,CCV,-16.6619,168.38
499,CCZ,25.4098,-77.8843
500,CDB,55.2005,-162.705
501,CDC,37.6992,-113.092
502,CDG,49.0175,2.5564
503,CDR,42.8284,-103.094
504,CDV,60.4924,-145.475
505,CDW,40.8759,-74.2775
506,CEB,10.3596,123.837
507,CEC,41.7765,-124.237
508,CED,-32.1264,133.701
509,CEE,59.083,37.938
510,CEG,53.1707,-2.98142
511,CEI,19.8864,99.8306
512,CEK,55.3104,61.4913
513,CEM,65.6121,-144.674
514,CEN,27.3925,-109.832
515,CEZ,37.3044,-108.63
516,CFC,-26.7775,-51.0175
517,CFE,45.7896,3.16013
518,CFK,36.2128,1.33167
519,CFN,55.0416,-8.3436
520,CFR,49.1825,-0.45906
521,CFS,-30.3171,153.119
522,CFU,39.6013,19.9136
523,CGA,55.4592,-133.106
524,CGB,-15.6497,-56.1169
525,CGD,28.9196,111.63
526,CGH,-23.6285,-46.6589
527,CGI,37.2272,-89.5637
528,CGK,-6.11964,106.656
529,CGM,9.173,124.725
530,CGN,50.8784,7.12293
531,CGO,34.75,113.65
532,CGP,22.2517,91.815
533,CGQ,43.9069,125.207
534,CGR,-20.475,-54.6736
535,CGY,8.4139,124.608
536,CHA,35.0373,-85.1966
537,CHC,-43.4859,172.534
538,CHO,38.14,-78.4487
539,CHQ,35.5319,24.1489
540,CHS,32.8838,-80.0356
541,CHT,-37.9723,174.566
542,CHU,61.5769,-159.244
543,CHY,-6.7,156.45
544,CIA,41.8004,12.5908
545,CIC,39.7987,-121.854
546,CID,41.8893,-91.7008
547,CIF,42.3333,119.008
548,CIH,36.1833,113.133
549,CIJ,-11.0178,-68.759
550,CIK,66.65,-143.75
551,CIP,-11.1358,-38.5205
552,CIT,39.89,-78.0166
553,CIU,46.2581,-84.4739
554,CIW,12.7187,-61.3306
555,CIX,-6.7897,-79.8322
556,CJA,-7.1322,-78.4889
557,CJB,11.0233,77.0482
558,CJC,-22.4944,-68.9017
559,CJJ,36.7131,127.509
560,CJL,35.8861,71.7944
561,CJS,31.6361,-106.428
562,CJU,33.5056,126.495
563,CKB,39.2967,-80.2314
564,CKD,61.8667,-158.133
565,CKG,29.5833,106.5
566,CKH,70.6416,147.933
567,CKS,-6.1175,-50.0036
568,CKX,64.0833,-141.917
569,CKY,9.5764,-13.6108
570,CKZ,40.1553,26.4142
571,CLD,33.1255,-117.275
572,CLE,41.4115,-81.8339
573,CLJ,46.7902,23.6984
574,CLL,30.5938,-96.3685
575,CLM,48.1155,-123.491
576,CLO,3.5461,-76.385
577,CLP,58.8517,-158.51
578,CLQ,19.2733,-103.577
579,CLT,35.2226,-80.946
580,CLY,42.5295,8.79677
581,CMA,-28.0333,145.617
582,CMB,7.1806,79.8856
583,CME,18.6522,-91.8011
584,CMF,45.6375,5.88291
585,CMG,-19.0055,-57.7055
586,CMH,39.9974,-82.8877
587,CMI,40.0367,-88.2638
588,CMN,33.365,-7.5817
589,CMU,-6.0283,44.9717
590,CMW,21.4186,-77.8458
591,CMX,47.1689,-88.4942
592,CNB,-30.9742,148.381
593,CNC,-10.0505,143.069
594,CND,44.3581,28.4896
595,CNF,-19.6242,-43.9717
596,CNJ,-20.6657,140.508
597,CNM,32.3458,-104.251
598,CNP,70.7431,-22.6583
599,CNQ,-27.4497,-58.7622
600,CNS,-16.8831,145.753
601,CNX,18.7714,98.9628
602,CNY,38.7609,-109.742
603,COD,44.5134,-109.031
604,COK,9.93997,76.2748
605,COL,56.6167,-6.61667
606,COO,6.3542,2.3856
607,COQ,48.1366,114.65
608,COR,-31.3131,-64.1994
609,COS,38.7829,-104.697
610,COU,38.8174,-92.2218
611,CPC,-40.0758,-71.1392
612,CPD,-29.0378,134.724
613,CPE,19.8158,-90.5008
614,CPH,55.6205,12.6495
615,CPO,-27.2933,-70.4122
616,CPQ,-23,-47.1333
617,CPR,42.8966,-106.465
618,CPT,-33.9647,18.6022
619,CPV,-7.2689,-35.8947
620,CPX,18.3204,-65.2929
621,CQD,32.2967,50.8417
622,CRA,44.3173,23.8447
623,CRD,-45.7872,-67.4628
624,CRI,22.7467,-74.18
625,CRK,15.1806,120.557
626,CRL,50.4601,4.45878
627,CRM,12.5044,124.635
628,CRP,27.7747,-97.5019
629,CRW,38.3697,-81.5951
630,CSA,56.0603,-6.22418
631,CSG,32.5184,-84.9401
632,CSH,65.05,35.6667
633,CSK,12.3953,-16.7514
634,CSX,28.0711,112.958
635,CSY,56.1311,47.2882
636,CTA,37.4696,15.0672
637,CTC,-28.5939,-65.7542
638,CTG,10.4481,-75.5106
639,CTL,-26.4135,146.263
640,CTM,18.5039,-88.3247
641,CTS,42.7757,141.691
642,CTU,30.5775,103.941
643,CUC,7.93,-72.5094
644,CUE,-2.8867,-78.9833
645,CUF,44.5466,7.61998
646,CUK,17.4956,-88.1816
647,CUL,24.7644,-107.474
648,CUM,10.4539,-64.1297
649,CUN,21.0406,-86.8744
650,CUP,10.6589,-63.2625
651,CUR,12.188,-68.9634
652,CUU,28.7028,-105.964
653,CUZ,-13.5308,-71.9472
654,CVG,39.0571,-84.6625
655,CVM,23.7139,-98.9653
656,CVN,34.4271,-103.087
657,CVQ,-24.8801,113.669
658,CVT,52.367,-1.4895
659,CVU,39.7,-31.1
660,CWA,44.7846,-89.6704
661,CWB,-25.5275,-49.1731
662,CWC,48.2526,25.976
663,CWL,51.3998,-3.34475
